date,type,total,pct
2020-04-21,metronorth,13700,-94.85714285714286
2020-04-21,subway,422860,-91.30000000000004
2020-04-22,bridgetunnel,398703,-60.81428571428568
2020-04-22,bus,518900,-72.71428571428568
2020-04-22,citibike,23826,-50.45714285714306
2020-04-22,lirr,8700,-97.14285714285714
2020-04-22,metronorth,14100,-94.71428571428571
2020-04-22,subway,459574,-91.28571428571432
2020-04-23,bridgetunnel,386938,-61.357142857142826
2020-04-23,bus,487300,-72.99999999999997
2020-04-23,citibike,19175,-60.385714285714485
2020-04-23,lirr,8400,-97.14285714285714
2020-04-23,metronorth,13800,-94.85714285714286
2020-04-23,subway,454300,-91.35714285714289
2020-04-24,bridgetunnel,386935,-61.07142857142854
2020-04-24,bus,475400,-73.57142857142854
2020-04-24,citibike,12630,-61.45714285714306
2020-04-24,lirr,7800,-97.14285714285714
2020-04-24,metronorth,13200,-94.85714285714286
2020-04-24,subway,444644,-91.44285714285718
2020-04-25,bridgetunnel,350300,-59.81428571428568
2020-04-25,bus,430800,-73.28571428571425
2020-04-25,citibike,59110,-56.385714285714485
2020-04-25,lirr,2900,-97.14285714285714
2020-04-25,metronorth,9100,-94.85714285714286
2020-04-25,subway,295836,-91.34285714285718
2020-04-26,bridgetunnel,231541,-59.69999999999997
2020-04-26,bus,293500,-73.85714285714283
2020-04-26,citibike,9608,-56.814285714285916
2020-04-26,lirr,1900,-97.14285714285714
2020-04-26,metronorth,5400,-94.85714285714286
2020-04-26,subway,219096,-91.38571428571433
2020-04-27,bridgetunnel,384124,-59.68571428571425
2020-04-27,bus,518400,-74.42857142857139
2020-04-27,citibike,17815,-57.87142857142877
2020-04-27,lirr,8800,-97.14285714285714
2020-04-27,metronorth,15000,-94.85714285714286
2020-04-27,subway,463700,-91.44285714285718
2020-04-28,bridgetunnel,436347,-59.51428571428568
2020-04-28,bus,555600,-74.71428571428568
2020-04-28,citibike,39701,-56.628571428571625
2020-04-28,lirr,9200,-97.28571428571429
2020-04-28,metronorth,15400,-95
2020-04-28,subway,490073,-91.4714285714286
2020-04-29,bridgetunnel,410502,-58.79999999999996
2020-04-29,bus,519600,-74.42857142857139
2020-04-29,citibike,21676,-55.057142857143056
2020-04-29,lirr,9100,-97.28571428571429
2020-04-29,metronorth,14800,-94.85714285714286
2020-04-29,subway,478589,-91.32857142857146
2020-04-30,bridgetunnel,405169,-56.414285714285676
2020-04-30,bus,488800,-72.28571428571425
2020-04-30,citibike,14507,-32.71428571428592
2020-04-30,lirr,9300,-97.14285714285714
2020-04-30,metronorth,14400,-94.57142857142857
2020-04-30,subway,466633,-91.04285714285719
2020-05-01,bridgetunnel,445621,-55.585714285714246
2020-05-01,bus,555300,-71.99999999999997
2020-05-01,citibike,25001,-29.44285714285735
2020-05-01,lirr,6200,-97.14285714285714
2020-05-01,metronorth,12400,-94.42857142857143
2020-05-01,subway,495312,-90.92857142857147
2020-05-02,bridgetunnel,401938,-55.24285714285711
2020-05-02,bus,478600,-71.85714285714283
2020-05-02,citibike,73108,-30.44285714285735
2020-05-02,lirr,4000,-97
2020-05-02,metronorth,10900,-94.42857142857143
2020-05-02,subway,326354,-90.85714285714289
2020-05-03,bridgetunnel,353314,-54.79999999999996
2020-05-03,bus,375900,-71.85714285714283
2020-05-03,citibike,63931,-31.28571428571449
2020-05-03,lirr,3300,-96.71428571428571
2020-05-03,metronorth,7600,-94.42857142857143
2020-05-03,subway,259199,-90.78571428571432
2020-05-04,bridgetunnel,447424,-53.61428571428568
2020-05-04,bus,578300,-71.14285714285711
2020-05-04,citibike,32412,-24.885714285714485
2020-05-04,lirr,11200,-96.42857142857143
2020-05-04,metronorth,15800,-94.28571428571429
2020-05-04,subway,512763,-90.61428571428576
2020-05-05,bridgetunnel,462086,-53.1428571428571
2020-05-05,bus,583400,-71.14285714285711
2020-05-05,citibike,35148,-26.400000000000205
2020-05-05,lirr,13300,-96
2020-05-05,metronorth,15500,-94.14285714285714
2020-05-05,subway,522979,-90.51428571428575
2020-05-06,bridgetunnel,444179,-53.94285714285711
2020-05-06,bus,538800,-71.42857142857139
2020-05-06,citibike,17347,-36.414285714285924
2020-05-06,lirr,14500,-95.57142857142857
2020-05-06,metronorth,14700,-94.14285714285714
2020-05-06,subway,509646,-90.54285714285719
2020-05-07,bridgetunnel,488836,-53.29999999999996
2020-05-07,bus,605600,-71.28571428571425
2020-05-07,citibike,43796,-40.00000000000021
2020-05-07,lirr,16100,-94.85714285714286
2020-05-07,metronorth,16200,-93.85714285714286
2020-05-07,subway,536003,-90.2571428571429
2020-05-08,bridgetunnel,483831,-52.95714285714282
2020-05-08,bus,573700,-71.14285714285711
2020-05-08,citibike,17373,-42.35714285714307
2020-05-08,lirr,15700,-94.42857142857143
2020-05-08,metronorth,15200,-93.85714285714286
2020-05-08,subway,526865,-90.18571428571433
2020-05-09,bridgetunnel,371426,-52.57142857142854
2020-05-09,bus,462400,-70.99999999999997
2020-05-09,citibike,27833,-42.14285714285735
2020-05-09,lirr,7700,-94.14285714285714
2020-05-09,metronorth,11100,-93.71428571428571
2020-05-09,subway,317372,-90.10000000000004
2020-05-10,bridgetunnel,415868,-51.7285714285714
2020-05-10,bus,386000,-70.42857142857139
2020-05-10,citibike,54712,-37.35714285714307
2020-05-10,lirr,8000,-94
2020-05-10,metronorth,9200,-93.57142857142857
2020-05-10,subway,272353,-89.9714285714286
2020-05-11,bridgetunnel,458042,-51.514285714285684
2020-05-11,bus,553300,-70.42857142857139
2020-05-11,citibike,22782,-37.80000000000022
2020-05-11,lirr,18300,-93.85714285714286
2020-05-11,metronorth,16700,-93.57142857142857
2020-05-11,subway,521702,-89.90000000000003
2020-05-12,bridgetunnel,488406,-50.65714285714283
2020-05-12,bus,594900,-69.71428571428568
2020-05-12,citibike,36128,-30.72857142857164
2020-05-12,lirr,19000,-93.71428571428571
2020-05-12,metronorth,16700,-92
2020-05-12,subway,554286,-89.7571428571429
2020-05-13,bridgetunnel,509243,-49.15714285714283
2020-05-13,bus,611300,-68.99999999999997
2020-05-13,citibike,40715,-19.071428571428783
2020-05-13,lirr,19400,-93.28571428571429
2020-05-13,metronorth,17200,-91.28571428571429
2020-05-13,subway,566333,-89.6571428571429
2020-05-14,bridgetunnel,520395,-50.2285714285714
2020-05-14,bus,616000,-70.28571428571425
2020-05-14,citibike,41743,-15.585714285714502
2020-05-14,lirr,19300,-93.14285714285714
2020-05-14,metronorth,16400,-92.14285714285714
2020-05-14,subway,568315,-89.9571428571429
2020-05-15,bridgetunnel,562991,-49.98571428571426
2020-05-15,bus,671500,-69.99999999999997
2020-05-15,citibike,53114,-11.571428571428783
2020-05-15,lirr,20100,-93
2020-05-15,metronorth,45300,-92
2020-05-15,subway,588784,-89.80000000000004
2020-05-16,bridgetunnel,477098,-49.699999999999974
2020-05-16,bus,530600,-69.71428571428568
2020-05-16,citibike,80576,-10.471428571428774
2020-05-16,lirr,11100,-92.85714285714286
2020-05-16,metronorth,18400,-91.85714285714286
2020-05-16,subway,361329,-89.68571428571433
2020-05-17,bridgetunnel,391606,-49.3285714285714
2020-05-17,bus,413500,-69.42857142857139
2020-05-17,citibike,63677,-9.457142857143054
2020-05-17,lirr,8800,-92.71428571428571
2020-05-17,metronorth,3300,-91.85714285714286
2020-05-17,subway,287755,-89.54285714285719
2020-05-18,bridgetunnel,505315,-48.357142857142826
2020-05-18,bus,624200,-68.85714285714283
2020-05-18,citibike,39215,-7.9285714285716296
2020-05-18,lirr,22100,-92.57142857142857
2020-05-18,metronorth,19200,-91.71428571428571
2020-05-18,subway,596505,-89.32857142857146
2020-05-19,bridgetunnel,524483,-47.47142857142854
2020-05-19,bus,643600,-68.71428571428568
2020-05-19,citibike,41008,-9.028571428571624
2020-05-19,lirr,21600,-92.42857142857143
2020-05-19,metronorth,18700,-93
2020-05-19,subway,611951,-89.12857142857146
2020-05-20,bridgetunnel,542409,-48.08571428571425
2020-05-20,bus,654800,-68.99999999999997
2020-05-20,citibike,45672,-21.742857142857346
2020-05-20,lirr,22200,-92.42857142857143
2020-05-20,metronorth,18500,-93.42857142857143
2020-05-20,subway,624793,-89.04285714285719
2020-05-21,bridgetunnel,585553,-46.47142857142854
2020-05-21,bus,655300,-68.14285714285711
2020-05-21,citibike,48655,-18.07142857142877
2020-05-21,lirr,22600,-92
2020-05-21,metronorth,19200,-91.85714285714286
2020-05-21,subway,630367,-88.81428571428576
2020-05-22,bridgetunnel,626984,-45.871428571428545
2020-05-22,bus,690200,-65.57142857142854
2020-05-22,citibike,47553,-11.000000000000199
2020-05-22,lirr,22800,-92.14285714285714
2020-05-22,metronorth,19900,-91.85714285714286
2020-05-22,subway,634929,-88.18571428571433
2020-05-23,bridgetunnel,394091,-44.54285714285711
2020-05-23,bus,460700,-64.85714285714283
2020-05-23,citibike,23071,-8.271428571428757
2020-05-23,lirr,11000,-92
2020-05-23,metronorth,14000,-91.71428571428571
2020-05-23,subway,336250,-87.94285714285718
2020-05-24,bridgetunnel,461171,-43.29999999999997
2020-05-24,bus,461200,-64.14285714285711
2020-05-24,citibike,73081,-6.328571428571621
2020-05-24,lirr,11900,-91.85714285714286
2020-05-24,metronorth,14100,-91.57142857142857
2020-05-24,subway,320376,-87.7571428571429
2020-05-25,bridgetunnel,445015,-42.999999999999964
2020-05-25,bus,531600,-63.857142857142826
2020-05-25,citibike,68074,-6.857142857143046
2020-05-25,lirr,19300,-91.71428571428571
2020-05-25,metronorth,19000,-91.57142857142857
2020-05-25,subway,394359,-87.70000000000005
2020-05-26,bridgetunnel,587270,-43.371428571428545
2020-05-26,bus,709000,-63.57142857142854
2020-05-26,citibike,53154,-5.685714285714468
2020-05-26,lirr,26700,-91.57142857142857
2020-05-26,metronorth,21800,-91.57142857142857
2020-05-26,subway,657939,-87.74285714285718
2020-05-27,bridgetunnel,601140,-41.65714285714283
2020-05-27,bus,719200,-62.285714285714256
2020-05-27,citibike,55186,8.51428571428552
2020-05-27,lirr,26500,-91
2020-05-27,metronorth,21000,-91
2020-05-27,subway,675705,-87.41428571428575
2020-05-28,bridgetunnel,584629,-41.271428571428544
2020-05-28,bus,710800,-62.285714285714256
2020-05-28,citibike,46253,11.328571428571237
2020-05-28,lirr,25200,-90.71428571428571
2020-05-28,metronorth,20400,-91
2020-05-28,subway,659248,-87.27142857142861
2020-05-29,bridgetunnel,598608,-40.457142857142834
2020-05-29,bus,720800,-63.999999999999964
2020-05-29,citibike,53475,5.999999999999815
2020-05-29,lirr,25100,-90.14285714285714
2020-05-29,metronorth,21200,-90.85714285714286
2020-05-29,subway,658353,-87.6571428571429
2020-05-30,bridgetunnel,537180,-40.81428571428569
2020-05-30,bus,622000,-63.857142857142826
2020-05-30,citibike,87261,4.157142857142688
2020-05-30,lirr,15600,-89.85714285714286
2020-05-30,metronorth,20300,-90.85714285714286
2020-05-30,subway,426755,-87.58571428571433
2020-05-31,bridgetunnel,495488,-41.25714285714283
2020-05-31,bus,468300,-63.999999999999964
2020-05-31,citibike,80301,-1.8428571428573122
2020-05-31,lirr,13600,-89.57142857142857
2020-05-31,metronorth,14700,-90.71428571428571
2020-05-31,subway,344428,-87.58571428571433
2020-06-01,bridgetunnel,595060,-40.557142857142836
2020-06-01,bus,764300,-63.285714285714256
2020-06-01,citibike,53044,-3.757142857143023
2020-06-01,lirr,34300,-89.42857142857143
2020-06-01,metronorth,24500,-90.42857142857143
2020-06-01,subway,688520,-87.41428571428575
2020-06-02,bridgetunnel,579412,-39.78571428571427
2020-06-02,bus,724400,-62.999999999999964
2020-06-02,citibike,46585,-8.200000000000173
2020-06-02,lirr,33800,-89.14285714285714
2020-06-02,metronorth,24600,-90.14285714285714
2020-06-02,subway,695276,-87.27142857142861
2020-06-03,bridgetunnel,582624,-39.585714285714275
2020-06-03,bus,741200,-62.71428571428568
2020-06-03,citibike,28859,-16.542857142857315
2020-06-03,lirr,32500,-88.85714285714286
2020-06-03,metronorth,23500,-89.85714285714286
2020-06-03,subway,683037,-87.1714285714286
2020-06-04,bridgetunnel,650868,-38.85714285714284
2020-06-04,bus,797700,-61.857142857142826
2020-06-04,citibike,39746,-30.67142857142875
2020-06-04,lirr,29800,-88.42857142857143
2020-06-04,metronorth,25500,-89.42857142857143
2020-06-04,subway,728018,-87.02857142857147
